N,P,K,temperature,humidity,ph,rainfall,label
86,36,40,21.79,91.05,6.35,251.37,rice
63,48,36,21.75,87.58,5.05,195.91,rice
86,51,39,24.71,92.14,5.01,244.47,rice
88,45,38,27.66,85.05,5.19,187.74,rice
94,53,51,25.84,88.04,6.95,210.28,rice
82,60,47,26.89,88.66,6.41,183.67,rice
69,44,37,21.86,81.52,5.56,230.85,rice
75,46,39,22.14,94.05,6.3,228.73,rice
67,57,38,23.04,94.84,6.28,224.56,rice
87,60,51,21.83,80.48,5.63,201.42,rice
68,63,53,22.52,89.83,5.79,253.16,rice
78,43,40,24.49,83.94,6.17,251.83,rice
76,42,55,24.08,81.36,5.09,188.77,rice
85,59,43,20.51,85.72,6.99,222.33,rice
99,61,35,25.77,90.23,6.07,201.35,rice
86,38,44,23.63,94.31,6.75,201.07,rice
80,40,53,26.96,84.48,6.28,228.72,rice
66,58,46,26.23,87.96,5.0,205.93,rice
61,63,53,26.65,84.61,5.12,250.24,rice
98,38,45,20.55,91.41,6.53,190.27,rice
79,51,40,26.98,86.35,5.42,223.14,rice
89,41,41,27.96,89.75,5.88,221.41,rice
65,42,42,24.71,83.45,5.44,185.68,rice
85,42,53,26.88,81.06,5.48,233.52,rice
69,39,54,24.57,87.09,6.57,244.6,rice
68,38,44,23.39,87.01,6.46,233.87,rice
99,38,43,22.71,92.93,5.5,195.22,rice
78,48,41,22.0,93.85,5.89,248.91,rice
82,37,55,26.69,94.53,6.85,247.9,rice
67,50,39,23.21,80.88,5.76,258.82,rice
71,59,44,23.38,94.36,6.99,224.46,rice
89,40,41,27.75,88.69,6.08,239.84,rice
62,53,45,26.82,82.36,6.92,186.41,rice
67,53,48,21.88,81.8,6.78,199.7,rice
84,54,43,24.67,87.84,6.87,196.34,rice
89,42,43,25.37,84.5,5.63,240.15,rice
63,49,55,27.97,81.1,5.43,201.22,rice
97,61,53,22.96,82.37,6.67,236.28,rice
84,65,48,20.06,92.26,5.6,233.07,rice
98,39,37,20.86,88.3,5.54,228.39,rice
89,41,48,22.11,87.33,6.81,247.69,rice
64,48,41,20.03,91.57,6.27,200.96,rice
90,52,44,20.08,81.13,6.77,252.31,rice
82,60,47,21.18,81.91,5.62,251.92,rice
92,61,53,21.68,83.74,5.21,242.41,rice
95,47,47,21.24,93.95,6.73,258.1,rice
92,61,36,25.89,84.98,6.86,244.18,rice
95,59,40,26.3,81.62,6.74,248.69,rice
69,60,44,22.44,91.93,5.46,181.89,rice
68,45,52,27.74,84.19,6.28,211.97,rice
99,51,54,20.92,94.56,5.36,257.0,rice
71,38,44,25.83,84.71,6.21,220.91,rice
75,52,40,25.67,80.03,6.85,223.08,rice
89,57,48,22.91,81.05,6.33,206.42,rice
73,60,49,22.4,84.64,5.82,212.19,rice
72,39,43,27.52,90.16,6.81,229.24,rice
72,51,35,22.3,86.45,6.16,232.38,rice
79,48,39,23.79,93.52,6.59,193.58,rice
63,50,48,22.68,92.28,6.5,233.82,rice
69,41,35,21.96,87.13,6.7,185.83,rice
77,54,39,25.57,87.42,5.49,232.48,rice
60,58,50,20.85,86.38,5.35,256.64,rice
81,37,40,26.79,86.85,6.6,233.41,rice
100,53,54,27.13,89.19,6.44,220.38,rice
93,51,53,25.95,87.12,5.52,199.78,rice
86,58,45,25.01,84.12,5.15,202.86,rice
71,45,46,21.11,83.47,6.39,236.51,rice
63,47,46,23.33,83.1,5.84,252.39,rice
83,56,52,26.12,85.71,5.01,208.14,rice
90,61,54,23.35,91.21,6.09,228.26,rice
69,42,44,20.23,85.04,6.36,212.35,rice
67,49,38,24.98,80.4,5.79,225.15,rice
61,54,38,23.69,80.75,5.76,196.93,rice
73,58,43,26.02,92.48,5.5,186.55,rice
61,51,55,22.8,89.75,6.56,232.14,rice
90,63,39,20.16,82.29,5.25,233.56,rice
83,42,49,26.14,82.52,6.21,239.83,rice
65,60,54,20.86,80.39,5.62,234.19,rice
98,47,49,20.61,90.36,6.25,188.15,rice
91,61,47,20.97,94.76,6.57,207.78,rice
77,46,45,22.73,92.74,6.64,188.44,rice
98,54,52,25.66,86.53,6.47,257.24,rice
71,59,46,23.87,86.53,6.46,201.47,rice
94,60,37,27.05,83.66,5.93,228.83,rice
75,36,52,21.45,83.18,6.6,207.23,rice
95,56,41,20.08,94.22,5.17,237.61,rice
80,58,49,25.17,87.36,6.59,187.44,rice
69,56,41,24.65,87.1,6.06,214.04,rice
90,45,49,22.17,83.77,5.24,195.41,rice
65,51,50,21.48,83.25,5.97,237.97,rice
99,51,41,20.8,82.91,5.45,194.36,rice
61,51,40,27.79,88.3,6.39,190.1,rice
95,50,52,24.59,87.04,5.88,194.75,rice
62,63,45,26.58,86.01,5.15,230.36,rice
62,39,46,22.43,94.91,5.24,241.16,rice
84,59,40,24.18,86.76,5.89,248.81,rice
100,44,47,24.88,91.1,6.9,196.62,rice
68,55,38,21.39,81.13,5.01,216.04,rice
84,44,40,25.66,90.54,5.91,234.99,rice
97,59,48,25.29,94.01,5.85,223.56,rice
86,62,32,18.71,58.32,6.12,97.45,maize
83,44,17,24.89,68.99,7.39,85.02,maize
80,37,16,22.32,61.45,6.0,64.57,maize
98,60,26,27.51,74.99,6.84,73.48,maize
62,58,24,24.52,73.32,5.86,89.27,maize
85,50,17,21.48,61.67,6.84,102.89,maize
73,56,21,27.45,71.27,6.6,82.74,maize
73,45,34,22.04,65.29,7.48,92.88,maize
82,47,19,21.62,70.13,6.75,98.0,maize
68,51,34,22.38,68.97,5.74,108.66,maize
84,42,18,23.51,66.05,5.69,109.61,maize
97,49,17,26.32,64.97,6.93,85.44,maize
71,60,35,20.44,66.03,6.27,106.09,maize
80,61,32,20.76,70.8,6.33,106.71,maize
80,60,21,20.99,66.74,7.5,84.48,maize
66,51,22,23.52,65.87,6.41,76.09,maize
68,56,26,20.34,70.51,5.59,97.24,maize
88,59,23,24.64,71.41,7.46,84.77,maize
61,50,27,26.7,72.48,6.38,86.3,maize
